,PLAYER,DIST_MI_DEF,AVG_SPEED_DEF
0,Aaron Brooks,0.20,4.17
1,Aaron Gordon,1.07,3.88
2,Aaron Harrison,0.84,4.04
3,Abdel Nader,0.38,4.41
4,Adreian Payne,0.29,3.72
5,Al Horford,0.99,3.76
6,Al Jefferson,0.41,3.89
7,Al-Farouq Aminu,0.98,3.99
8,Alan Williams,0.44,3.90
9,Alec Burks,0.55,4.11
10,Alec Peters,0.37,3.88
11,Alex Abrines,0.54,4.23
12,Alex Caruso,0.55,4.11
13,Alex Len,0.65,3.88
14,Alex Poythress,0.14,4.28
15,Alfonzo McKinnie,0.15,4.60
16,Allen Crabbe,0.96,4.02
17,Amir Johnson,0.54,3.98
18,Andre Drummond,1.12,4.01
19,Andre Iguodala,0.86,3.92
20,Andre Ingram,1.10,3.87
21,Andre Roberson,1.04,4.50
22,Andrew Bogut,0.28,3.76
23,Andrew Harrison,0.76,4.01
24,Andrew White III,0.47,4.25
25,Andrew Wiggins,1.14,3.92
26,Ante Zizic,0.22,4.13
27,Anthony Brown,0.14,2.47
28,Anthony Davis,1.15,3.63
29,Anthony Tolliver,0.73,3.92
30,Antonio Blakeney,0.60,4.09
31,Antonius Cleveland,0.25,4.22
32,Aron Baynes,0.61,4.00
33,Arron Afflalo,0.42,4.03
34,Austin Rivers,1.09,3.95
35,Avery Bradley,1.11,4.31
36,Bam Adebayo,0.65,4.06
37,Ben McLemore,0.69,4.32
38,Ben Moore,0.18,5.99
39,Ben Simmons,1.15,3.94
40,Bismack Biyombo,0.60,3.99
41,Blake Griffin,1.00,3.57
42,Boban Marjanovic,0.29,3.92
43,Bobby Brown,0.17,3.72
44,Bobby Portis,0.79,4.00
45,Bogdan Bogdanovic,0.92,4.06
46,Bojan Bogdanovic,1.05,4.03
47,Bradley Beal,1.17,3.91
48,Brandan Wright,0.44,3.86
49,Brandon Ingram,1.13,3.95
50,Brandon Jennings,0.51,4.18
51,Brandon Paul,0.31,4.08
52,Briante Weber,0.49,4.53
53,Brice Johnson,0.17,3.75
54,Brook Lopez,0.77,3.92
55,Bruno Caboclo,0.31,4.31
56,Bryn Forbes,0.64,4.11
57,Buddy Hield,0.91,4.33
58,C.J. Williams,0.66,4.19
59,CJ McCollum,1.18,4.04
60,CJ Miles,0.60,3.79
61,Caleb Swanigan,0.23,4.16
62,Cameron Payne,0.78,3.87
63,Caris LeVert,0.86,4.07
64,Carmelo Anthony,0.95,3.45
65,Cedi Osman,0.40,4.33
66,Chandler Parsons,0.60,3.83
67,Channing Frye,0.41,3.67
68,Charles Cooke,0.10,4.23
69,Cheick Diallo,0.38,4.08
70,Chinanu Onuaku,0.66,3.79
71,Chris Boucher,0.03,0.00
72,Chris McCullough,0.16,4.13
73,Chris Paul,0.92,3.51
74,Clint Capela,0.90,3.94
75,Cody Zeller,0.63,4.04
76,Cole Aldrich,0.07,3.72
77,Corey Brewer,0.62,4.29
78,Cory Joseph,0.99,4.43
79,Courtney Lee,1.03,4.18
80,Cristiano Felicio,0.64,4.24
81,D'Angelo Russell,0.82,3.95
82,D.J. Augustin,0.74,3.94
83,D.J. Wilson,0.11,4.13
84,Dakari Johnson,0.16,3.91
85,Damian Jones,0.20,4.15
86,Damian Lillard,1.11,3.78
87,Damien Wilkins,0.26,4.01
88,Damion Lee,0.97,4.43
89,Damyean Dotson,0.38,4.24
90,Daniel Hamilton,0.15,4.08
91,Daniel Theis,0.50,4.12
92,Danilo Gallinari,1.01,3.84
93,Danny Green,0.87,4.28
94,Dante Cunningham,0.76,4.23
95,Dante Exum,0.61,4.21
96,Danuel House,0.59,4.11
97,Dario Saric,1.01,4.00
98,Darius Miller,0.75,3.71
99,Darrell Arthur,0.23,3.96
100,Darren Collison,0.99,4.07
101,Darrun Hilliard,0.22,3.92
102,David Nwaba,0.89,4.38
103,David Stockton,0.10,4.61
104,David West,0.42,3.65
105,Davis Bertans,0.47,3.97
106,Davon Reed,0.40,4.04
107,De'Aaron Fox,0.94,4.10
108,DeAndre Jordan,0.97,3.73
109,DeAndre Liggins,0.46,4.51
110,DeAndre' Bembry,0.63,4.15
111,DeMar DeRozan,1.06,3.77
112,DeMarcus Cousins,1.06,3.44
113,DeMarre Carroll,0.95,3.95
114,Dejounte Murray,0.78,4.46
115,Delon Wright,0.73,4.25
116,Demetrius Jackson,0.19,4.25
117,Dennis Schroder,1.04,4.07
118,Dennis Smith Jr.,0.95,4.01
119,Denzel Valentine,0.96,4.12
120,Derrick Favors,0.92,4.13
121,Derrick Jones Jr.,0.43,4.20
122,Derrick Rose,0.61,4.18
123,Derrick Walton Jr.,0.30,4.05
124,Derrick White,0.28,4.00
125,Derrick Williams,0.14,3.96
126,Devin Booker,1.11,3.86
127,Devin Harris,0.57,3.78
128,Devin Robinson,0.44,4.04
129,Dewayne Dedmon,0.81,3.92
130,Deyonta Davis,0.51,4.05
131,Dillon Brooks,0.98,4.19
132,Dion Waiters,0.94,3.81
133,Dirk Nowitzki,0.67,3.39
134,Domantas Sabonis,0.83,4.06
135,Donovan Mitchell,1.05,3.87
136,Dorian Finney-Smith,0.73,4.24
137,Doug McDermott,0.77,4.34
138,Dragan Bender,0.81,3.84
139,Draymond Green,1.05,3.65
140,Dwayne Bacon,0.45,4.06
141,Dwight Buycks,0.49,4.01
142,Dwight Howard,0.94,3.73
143,Dwight Powell,0.71,4.12
144,Dwyane Wade,0.73,3.79
145,E'Twaun Moore,1.13,4.13
146,Ed Davis,0.61,4.07
