,PLAYER,DREB%,%DREB,STL%,%BLK
0,Andre Ingram,7.2,9.3,18.8,37.5
1,Rudy Gobert,23.4,32.6,14.1,61.7
2,Joel Embiid,25.5,37.0,13.2,51.2
3,Robert Covington,13.7,19.3,28.4,25.8
4,Marcus Smart,8.5,12.3,27.0,15.3
5,Andre Roberson,10.9,15.4,18.3,35.0
6,Donovan Mitchell,9.3,12.9,24.1,9.5
7,Kawhi Leonard,15.9,22.0,42.9,40.9
8,Jayson Tatum,13.8,19.9,21.8,23.3
9,Al Horford,17.8,25.2,12.8,35.9
10,Jaylen Brown,12.4,17.7,20.6,12.3
11,Ricky Rubio,13.9,19.5,27.8,5.1
12,Ben Simmons,17.1,24.8,28.9,24.1
13,JJ Redick,7.1,10.3,9.8,2.6
14,Anthony Davis,21.3,31.6,24.3,53.5
15,Devin Robinson,25.0,30.0,100,0.0
16,Joe Ingles,12.5,17.6,19.5,7.5
17,Jrue Holiday,9.5,13.9,24.8,16.9
18,Damian Lillard,9.4,13.3,19.2,8.9
19,Chris Paul,15.1,21.5,27.7,7.9
20,LaMarcus Aldridge,15.6,21.7,11.1,28.4
21,Victor Oladipo,13.2,19.5,33.8,24.7
22,Josh Richardson,8.0,11.5,28.0,24.1
23,Dario Saric,14.7,21.0,13.1,8.8
24,Eric Gordon,6.5,9.2,12.1,12.3
25,Kyrie Irving,9.6,13.9,23.2,8.6
26,Derrick Favors,16.7,23.0,14.8,38.5
27,Danilo Gallinari,13.3,18.9,12.7,16.4
28,Paul George,13.2,19.2,28.3,13.7
29,Kyle Anderson,15.8,22.4,33.7,23.1
30,Russell Westbrook,22.6,32.3,25.8,6.9
31,DeMarcus Cousins,29.2,41.3,28.3,40.2
32,Jon Leuer,17.9,26.3,3.3,42.9
33,CJ McCollum,8.9,12.6,17.3,10.8
34,Andre Iguodala,10.9,16.4,20.8,14.7
35,Terry Rozier,14.4,21.0,25.5,10.5
36,Lonzo Ball,15.3,21.6,28.0,21.8
37,Dejounte Murray,19.6,27.4,32.6,13.4
38,Draymond Green,18.3,27.5,23.7,28.1
39,Luc Mbah a Moute,10.2,14.2,24.5,16.0
40,Giannis Antetokounmpo,21.8,32.4,21.7,32.0
41,Klay Thompson,8.9,13.2,13.1,9.0
42,Mike Conley,7.0,10.6,20.7,7.1
43,Markelle Fultz,10.5,15.1,25.0,14.3
44,Yogi Ferrell,9.7,14.1,19.1,4.7
45,Jimmy Butler,11.2,16.4,28.2,11.9
46,John Wall,8.8,12.9,24.7,31.0
47,Thaddeus Young,12.8,18.6,25.6,16.1
48,Jusuf Nurkic,23.7,33.5,19.3,42.0
49,Bradley Beal,10.1,14.7,19.3,12.8
50,Trevor Ariza,11.6,16.5,23.7,6.0
51,PJ Tucker,16.0,22.8,18.4,11.5
52,Bojan Bogdanovic,9.7,14.2,12.0,3.6
53,Al-Farouq Aminu,19.8,28.1,23.4,15.7
54,Danny Green,11.5,16.1,21.7,33.6
55,James Harden,13.7,19.3,26.8,19.4
56,Chinanu Onuaku,13.6,23.1,0.0,0.0
57,Otto Porter Jr.,16.1,23.2,27.6,18.1
58,Pau Gasol,25.6,36.3,8.9,38.2
59,Steven Adams,12.3,17.5,19.6,33.9
60,Kyle Lowry,14.2,19.9,22.8,6.5
61,Goran Dragic,10.5,15.2,17.2,4.5
62,Tyler Johnson,10.5,15.0,17.9,16.3
63,Aron Baynes,19.6,26.3,10.2,37.2
64,Alan Williams,26.0,35.8,27.8,11.1
65,Thabo Sefolosha,17.0,23.9,30.4,13.8
66,Patrick Beverley,9.2,13.3,29.7,19.2
67,Justise Winslow,17.8,25.2,20.8,18.2
68,E'Twaun Moore,6.5,9.5,17.9,3.6
69,DeMar DeRozan,9.1,13.0,22.0,6.7
70,Carmelo Anthony,15.8,22.6,10.0,20.7
71,Damion Lee,13.8,18.3,31.1,3.3
72,Dion Waiters,7.8,11.0,16.3,10.3
73,Derrick Williams,14.3,14.3,0.0,0.0
74,Clint Capela,27.8,38.4,16.7,58.1
75,Blake Griffin,17.5,25.4,12.9,9.9
76,Tyreke Evans,13.7,20.8,23.0,9.5
77,Gerald Green,12.4,17.3,16.6,15.8
78,Nikola Mirotic,21.3,31.0,17.0,22.2
79,Wayne Ellington,9.4,13.5,17.7,3.5
80,Myles Turner,17.4,25.6,10.7,58.7
81,Kristaps Porzingis,15.4,22.4,17.5,57.5
82,Dante Exum,8.3,12.4,20.0,8.1
83,Royce O'Neale,17.5,24.5,19.1,11.8
84,Hassan Whiteside,31.7,44.8,18.2,54.7
85,Stanley Johnson,11.5,16.5,28.9,10.4
86,Marcus Morris,16.6,24.2,16.7,9.0
87,Aaron Jackson,3.1,4.3,0.0,0.0
88,Brandon Ingram,12.1,17.7,14.3,20.2
89,Nikola Jokic,25.4,35.6,23.5,28.1
90,Kemba Walker,7.7,10.5,24.3,9.0
91,Fred VanVleet,10.2,15.5,25.4,8.6
92,CJ Miles,9.7,15.1,16.2,11.2
93,Stephen Curry,12.4,18.5,27.9,3.3
94,Kelly Olynyk,20.0,28.5,20.7,20.8
95,Jonathan Isaac,14.1,21.1,35.9,44.1
96,Kentavious Caldwell-Pope,12.7,18.1,27.2,6.3
97,Andre Drummond,32.9,46.6,27.3,59.3
98,Serge Ibaka,18.3,25.6,10.1,39.9
99,Pascal Siakam,16.8,25.2,20.5,19.2
100,Marcin Gortat,21.3,30.3,11.7,32.3
101,Patty Mills,6.1,9.0,16.5,4.4
102,Evan Turner,10.0,14.4,17.3,13.6
103,Dorian Finney-Smith,12.1,16.9,15.2,12.5
104,Vander Blue,2.2,2.9,8.3,0.0
105,Delon Wright,10.7,15.9,27.7,16.3
106,Khris Middleton,13.3,19.8,21.1,6.2
107,Gary Harris,6.1,8.8,31.3,6.8
108,Larry Nance Jr.,19.9,29.7,30.0,28.6
109,James Johnson,14.8,21.6,23.0,23.0
110,Rudy Gay,17.5,25.1,25.3,30.9
111,Langston Galloway,8.9,12.7,23.8,7.1
112,T.J. McConnell,10.0,15.0,32.9,6.8
113,Eric Bledsoe,10.0,15.2,32.4,15.0
114,Aaron Gordon,19.1,27.7,18.4,22.5
115,Bam Adebayo,19.4,27.0,15.9,26.8
116,Kyle Kuzma,15.4,22.7,13.6,15.4
117,Jerryd Bayless,6.6,9.9,13.4,5.9
118,Iman Shumpert,11.3,17.0,23.1,16.7
119,Nene,15.6,21.6,17.0,24.6
120,Raul Neto,7.9,10.9,14.9,6.2
121,Nikola Vucevic,24.9,35.1,18.2,42.2
122,Dwyane Wade,12.4,18.4,26.2,32.4
123,Reggie Jackson,8.4,12.1,13.4,5.3
124,Will Barton,12.6,18.3,19.5,18.6
125,Jacob Wiley,22.5,26.5,20.0,0.0
126,DeMarre Carroll,16.5,24.3,20.4,13.2
127,Shabazz Napier,9.0,13.0,37.0,9.1
128,Mario Chalmers,10.4,15.7,30.9,9.9
129,Andrew Wiggins,9.4,14.0,17.3,18.2
130,OG Anunoby,9.0,12.6,24.0,7.5
131,Reggie Bullock,7.2,10.3,18.2,8.6
132,Mindaugas Kuzminskas,0.0,0.0,0.0,0.0
133,Amir Johnson,16.9,23.5,19.7,40.4
134,John Henson,18.5,26.9,12.8,42.6
135,Cory Joseph,10.1,14.7,20.9,9.9
136,Rajon Rondo,12.4,18.5,23.8,4.4
137,Luke Kennard,10.4,14.9,20.2,9.6
138,JaKarr Sampson,16.1,23.2,14.3,51.2
139,Kyle Korver,9.3,13.7,13.2,18.4
140,Dwight Howard,29.5,40.8,14.7,49.6
141,Karl-Anthony Towns,27.2,39.7,13.0,43.1
142,Ish Smith,9.5,13.5,20.4,10.9
143,Taj Gibson,14.6,21.5,12.9,22.7
144,Paul Millsap,15.3,22.7,20.4,37.6
145,Bryn Forbes,6.5,9.4,12.2,1.3
146,Dillon Brooks,9.2,13.5,20.6,7.9
147,Ersan Ilyasova,16.1,23.9,21.8,14.0
148,Domantas Sabonis,22.7,33.1,12.5,25.0
149,Darren Collison,7.2,10.5,23.0,7.8
150,Ryan Anderson,13.9,19.3,8.7,13.5
151,Kevin Durant,16.9,25.6,13.3,33.7
152,Justin Holiday,11.4,15.2,22.5,17.5
153,Nigel Hayes,14.5,20.0,12.5,37.5
154,Dwight Powell,19.0,27.2,25.7,33.0
155,Joe Johnson,13.0,18.7,8.7,6.1
156,Anthony Tolliver,10.9,15.6,11.7,15.4
157,Milos Teodosic,9.0,13.4,14.3,5.4
158,Tyrone Wallace,9.1,13.6,18.4,14.8
159,Frank Ntilikina,7.9,11.7,25.6,9.4
160,Doug McDermott,8.7,12.7,7.4,9.0
161,Avery Bradley,6.8,9.8,22.4,7.5
162,Tomas Satoransky,9.9,14.2,20.2,10.6
163,Dirk Nowitzki,22.7,31.7,16.3,38.8
164,Marvin Williams,14.0,19.3,20.4,17.4
165,Brandan Wright,16.1,24.9,21.0,49.1
166,Shaquille Harrison,13.0,18.3,33.3,20.0
167,Jae Crowder,10.3,14.8,18.1,11.5
168,Marco Belinelli,6.6,10.1,20.1,6.6
169,Shane Larkin,10.1,14.3,22.3,2.9
170,Alex Caruso,8.6,12.4,22.3,20.8
171,Markieff Morris,17.3,25.0,17.3,22.1
172,Pat Connaughton,8.0,11.3,12.4,16.7
173,Jeff Green,9.5,14.3,15.2,22.4
174,Maurice Harkless,9.0,12.7,23.2,27.0
175,Jordan Clarkson,8.0,12.0,19.2,3.7
176,Derrick White,12.8,19.8,13.8,16.7
177,Jakob Poeltl,15.0,22.5,14.8,52.9
178,D.J. Augustin,7.2,10.7,19.9,0.0
179,Ed Davis,25.4,36.4,17.3,37.1
180,Jerami Grant,14.0,21.3,11.1,37.0
181,Michael Kidd-Gilchrist,11.5,15.6,19.7,16.7
182,J.J. Barea,12.0,17.0,15.5,2.7
183,Gian Clavell,10.2,13.3,18.2,0.0
184,Harrison Barnes,15.4,21.7,12.9,6.7
185,John Collins,20.1,30.3,15.0,48.5
186,Robin Lopez,9.3,12.2,5.5,37.6
