,Unnamed: 0_x,PLAYER,DREB%,%DREB,STL%,%BLK,Unnamed: 0_y,TEAM,AGE,GP,MIN,SCREEN_AST,DEFL,LB_REC,CHARGES_DRAWN,CONT_2PT,CONT_3PT,CONT_ALL,Unnamed: 0,DIST_MI_DEF,AVG_SPEED_DEF
0,0,Andre Ingram,7.2,9.3,18.8,37.5,21,LAL,32,2,32.0,0.5,1.0,1.0,1.00,3.0,4.0,7.0,20.0,1.1,3.87
1,1,Rudy Gobert,23.4,32.6,14.1,61.7,444,UTA,26,56,32.0,6.2,1.5,0.8,0.00,12.8,2.3,15.0,443.0,1.04,3.97
2,2,Joel Embiid,25.5,37.0,13.2,51.2,252,PHI,24,63,30.0,3.0,1.1,1.3,0.02,9.6,1.9,11.6,251.0,0.96,3.71
3,3,Robert Covington,13.7,19.3,28.4,25.8,435,PHI,27,80,32.0,0.4,3.9,1.3,0.01,4.3,3.6,7.9,434.0,1.07,3.92
4,4,Marcus Smart,8.5,12.3,27.0,15.3,352,BOS,24,54,30.0,0.4,2.9,0.7,0.24,3.2,3.3,6.5,351.0,0.96,3.83
5,5,Andre Roberson,10.9,15.4,18.3,35.0,22,OKC,26,39,27.0,0.8,2.3,1.3,0.03,5.0,3.3,8.2,21.0,1.04,4.5
6,6,Donovan Mitchell,9.3,12.9,24.1,9.5,136,UTA,21,79,33.0,0.1,2.3,1.0,0.01,3.7,2.9,6.6,135.0,1.05,3.87
7,7,Kawhi Leonard,15.9,22.0,42.9,40.9,291,SAS,27,9,23.0,0.1,2.7,1.4,0.00,3.1,2.6,5.7,290.0,0.76,4.05
8,8,Jayson Tatum,13.8,19.9,21.8,23.3,234,BOS,20,80,31.0,0.4,1.7,0.8,0.01,3.4,3.0,6.4,233.0,0.99,3.89
9,9,Al Horford,17.8,25.2,12.8,35.9,6,BOS,32,72,32.0,2.7,1.3,0.8,0.00,8.8,3.5,12.3,5.0,0.99,3.76
10,10,Jaylen Brown,12.4,17.7,20.6,12.3,232,BOS,21,70,31.0,0.3,2.0,1.2,0.07,3.3,3.4,6.7,231.0,1.07,4.22
11,11,Ricky Rubio,13.9,19.5,27.8,5.1,434,UTA,27,77,29.0,0.2,3.0,1.5,0.10,2.9,2.2,5.1,433.0,0.94,3.99
12,12,Ben Simmons,17.1,24.8,28.9,24.1,40,PHI,21,81,34.0,0.8,2.9,1.8,0.04,4.4,3.8,8.2,39.0,1.15,3.94
13,13,JJ Redick,7.1,10.3,9.8,2.6,197,PHI,34,70,30.0,0.8,0.8,0.7,0.09,2.7,2.2,4.9,196.0,1.06,4.08
14,14,Anthony Davis,21.3,31.6,24.3,53.5,29,NOP,25,75,36.0,3.9,2.4,1.5,0.15,9.8,4.5,14.3,28.0,1.15,3.63
15,15,Devin Robinson,25.0,30.0,100.0,0.0,129,WAS,23,1,13.0,0.0,1.0,0.0,1.00,2.0,2.0,4.0,128.0,0.44,4.04
16,16,Joe Ingles,12.5,17.6,19.5,7.5,248,UTA,30,82,31.0,0.4,2.3,1.1,0.00,2.7,2.9,5.7,247.0,1.02,4.04
17,17,Jrue Holiday,9.5,13.9,24.8,16.9,279,NOP,28,81,36.0,0.4,3.2,1.6,0.02,4.5,4.3,8.8,278.0,1.24,3.92
18,18,Damian Lillard,9.4,13.3,19.2,8.9,87,POR,27,73,37.0,0.2,1.8,1.7,0.11,2.8,1.9,4.7,86.0,1.11,3.78
19,19,Chris Paul,15.1,21.5,27.7,7.9,74,HOU,33,58,32.0,0.5,3.0,1.6,0.03,2.3,2.0,4.3,73.0,0.92,3.51
20,20,LaMarcus Aldridge,15.6,21.7,11.1,28.4,318,SAS,32,75,33.0,3.2,1.5,1.0,0.00,10.0,2.6,12.6,317.0,1.06,3.97
21,21,Victor Oladipo,13.2,19.5,33.8,24.7,516,IND,26,75,34.0,0.1,3.8,1.6,0.16,4.0,4.8,8.8,515.0,1.2,4.15
22,22,Josh Richardson,8.0,11.5,28.0,24.1,277,MIA,24,81,33.0,0.2,2.7,1.2,0.10,5.3,3.0,8.3,276.0,1.12,4.12
23,23,Dario Saric,14.7,21.0,13.1,8.8,98,PHI,24,78,30.0,1.0,1.3,0.9,0.01,6.0,3.6,9.6,97.0,1.01,4.0
24,24,Eric Gordon,6.5,9.2,12.1,12.3,155,HOU,29,69,31.0,0.3,1.4,0.9,0.03,2.4,2.4,4.8,154.0,0.97,3.66
25,25,Kyrie Irving,9.6,13.9,23.2,8.6,317,BOS,26,60,32.0,0.5,2.0,1.3,0.10,3.0,2.2,5.2,316.0,1.02,3.79
26,26,Derrick Favors,16.7,23.0,14.8,38.5,121,UTA,26,77,28.0,2.7,1.3,0.8,0.00,8.2,2.6,10.7,120.0,0.92,4.13
27,27,Danilo Gallinari,13.3,18.9,12.7,16.4,93,LAC,29,21,32.0,1.2,1.8,0.9,0.10,5.3,3.4,8.7,92.0,1.01,3.84
28,28,Paul George,13.2,19.2,28.3,13.7,417,OKC,28,79,37.0,0.3,3.9,1.8,0.06,4.2,3.9,8.0,416.0,1.21,3.83
29,29,Kyle Anderson,15.8,22.4,33.7,23.1,310,SAS,24,74,27.0,0.4,2.5,1.0,0.04,4.0,2.0,6.0,309.0,0.88,4.1
30,30,Russell Westbrook,22.6,32.3,25.8,6.9,445,OKC,29,80,36.0,0.1,3.3,2.1,0.06,1.9,1.6,3.5,444.0,1.16,3.65
31,31,DeMarcus Cousins,29.2,41.3,28.3,40.2,113,NOP,27,48,36.0,2.3,2.7,1.6,0.50,10.7,2.7,13.3,112.0,1.06,3.44
32,32,Jon Leuer,17.9,26.3,3.3,42.9,260,DET,29,8,17.0,1.5,0.1,0.0,0.00,2.8,1.1,3.9,259.0,0.6,4.3
33,33,CJ McCollum,8.9,12.6,17.3,10.8,60,POR,26,81,36.0,0.3,1.5,1.4,0.01,4.3,3.0,7.3,59.0,1.18,4.04
34,34,Andre Iguodala,10.9,16.4,20.8,14.7,20,GSW,34,64,25.0,0.7,1.4,1.2,0.02,2.7,2.3,5.0,19.0,0.86,3.92
35,35,Terry Rozier,14.4,21.0,25.5,10.5,476,BOS,24,80,26.0,0.3,1.5,1.0,0.04,1.9,2.2,4.0,475.0,0.88,4.18
36,36,Lonzo Ball,15.3,21.6,28.0,21.8,327,LAL,20,52,34.0,0.3,2.9,1.3,0.00,4.6,3.1,7.7,326.0,1.18,4.03
37,37,Dejounte Murray,19.6,27.4,32.6,13.4,115,SAS,21,81,22.0,0.1,2.1,1.3,0.00,3.8,2.5,6.2,114.0,0.78,4.46
38,38,Draymond Green,18.3,27.5,23.7,28.1,140,GSW,28,70,33.0,1.8,3.1,0.9,0.07,8.0,4.0,11.9,139.0,1.05,3.65
39,39,Luc Mbah a Moute,10.2,14.2,24.5,16.0,330,HOU,31,61,26.0,0.5,1.8,0.8,0.05,4.9,2.6,7.5,329.0,0.83,3.86
40,40,Giannis Antetokounmpo,21.8,32.4,21.7,32.0,174,MIL,23,75,37.0,1.4,2.5,1.8,0.00,6.6,3.7,10.3,173.0,1.19,3.74
41,41,Klay Thompson,8.9,13.2,13.1,9.0,305,GSW,28,73,34.0,0.4,1.1,1.0,0.00,4.0,2.6,6.6,304.0,1.18,3.93
42,42,Mike Conley,7.0,10.6,20.7,7.1,373,MEM,30,12,31.0,0.5,2.2,0.8,0.25,3.3,3.1,6.3,372.0,1.01,3.9
43,43,Markelle Fultz,10.5,15.1,25.0,14.3,356,PHI,20,14,18.0,0.7,1.1,0.9,0.00,1.9,2.2,4.1,355.0,0.64,4.27
44,44,Yogi Ferrell,9.7,14.1,19.1,4.7,534,DAL,25,82,28.0,0.1,1.4,1.1,0.15,2.4,2.6,5.0,533.0,0.93,4.1
45,45,Jimmy Butler,11.2,16.4,28.2,11.9,244,MIN,28,59,37.0,0.4,3.5,1.9,0.12,3.1,3.1,6.3,243.0,1.2,4.1
46,46,John Wall,8.8,12.9,24.7,31.0,257,WAS,27,41,34.0,0.1,2.7,1.2,0.10,5.4,1.8,7.2,256.0,1.03,3.58
47,47,Thaddeus Young,12.8,18.6,25.6,16.1,478,IND,30,81,32.0,1.3,3.6,1.5,0.17,5.8,4.7,10.5,477.0,1.13,4.16
48,48,Jusuf Nurkic,23.7,33.5,19.3,42.0,288,POR,23,79,26.0,3.7,1.7,0.9,0.03,9.8,1.9,11.7,287.0,0.84,3.92
49,49,Bradley Beal,10.1,14.7,19.3,12.8,48,WAS,25,82,36.0,0.4,2.0,1.2,0.05,3.8,4.1,7.9,47.0,1.17,3.91
50,50,Trevor Ariza,11.6,16.5,23.7,6.0,495,HOU,33,67,34.0,0.3,2.9,1.0,0.03,2.6,2.5,5.1,494.0,1.1,3.94
51,51,PJ Tucker,16.0,22.8,18.4,11.5,409,HOU,33,82,28.0,1.3,1.6,1.2,0.13,3.9,2.7,6.7,408.0,0.91,3.94
52,52,Bojan Bogdanovic,9.7,14.2,12.0,3.6,47,IND,29,80,31.0,0.1,1.1,0.7,0.03,3.7,3.3,7.0,46.0,1.05,4.03
