,PLAYER,TEAM,AGE,GP,MIN,SCREEN_AST,DEFL,LB_REC,CHARGES_DRAWN,CONT_2PT,CONT_3PT,CONT_ALL
0,Aaron Brooks,MIN,33,32,6.0,0.0,0.3,0.2,0.03,0.6,0.9,1.5
1,Aaron Gordon,ORL,22,58,33.0,0.9,1.4,1.2,0.07,4.7,1.8,6.5
2,Aaron Harrison,DAL,23,9,26.0,0.1,2.0,0.9,0.00,3.3,3.2,6.6
3,Aaron Jackson,HOU,32,1,35.0,0.0,4.0,0.0,0.00,0.0,0.0,0.0
4,Abdel Nader,BOS,24,48,11.0,0.1,0.7,0.4,0.00,1.5,1.3,2.8
5,Adreian Payne,ORL,27,5,9.0,0.4,1.0,0.0,0.00,1.2,0.2,1.4
6,Al Horford,BOS,32,72,32.0,2.7,1.3,0.8,0.00,8.8,3.5,12.3
7,Al Jefferson,IND,33,36,13.0,1.4,0.9,0.3,0.06,4.2,0.6,4.8
8,Al-Farouq Aminu,POR,27,69,30.0,1.5,2.2,1.2,0.00,5.7,3.0,8.7
9,Alan Williams,PHX,25,5,14.0,1.8,1.0,0.2,0.00,1.2,1.0,2.2
10,Alec Burks,UTA,26,64,17.0,0.1,0.9,0.6,0.02,1.6,1.4,3.0
11,Alec Peters,PHX,23,20,11.0,0.3,0.5,0.3,0.10,1.6,1.4,3.0
12,Alex Abrines,OKC,24,75,15.0,0.1,0.9,0.5,0.03,2.0,1.9,4.0
13,Alex Caruso,LAL,24,37,15.0,0.1,1.2,0.6,0.08,2.1,1.6,3.7
14,Alex Len,PHX,25,69,20.0,3.8,0.8,0.5,0.00,8.1,1.1,9.3
15,Alex Poythress,IND,24,25,4.0,0.2,0.2,0.1,0.00,0.6,0.4,1.0
16,Alfonzo McKinnie,TOR,25,14,4.0,0.0,0.1,0.0,0.00,0.5,0.3,0.8
17,Allen Crabbe,BKN,26,75,29.0,0.2,1.5,0.9,0.01,3.5,2.0,5.5
18,Amir Johnson,PHI,31,74,16.0,2.5,1.0,0.7,0.08,4.7,0.8,5.5
19,Andre Drummond,DET,24,78,34.0,4.7,3.2,1.2,0.01,9.2,2.0,11.2
