,PLAYER,TEAM,GP,W,L,MIN,DREB,CONTESTED_DREB,CONTEST_DREB%,DREB_CHANCES,DREB_CHANCE%,DEFER_DREB_CHANCE,ADJ_DREB_CHANCE%,AVG_DREB_DIST
0,Aaron Brooks,MIN,32,19,13,5.9,0.3,0.1,20.0,0.6,50.0,0.2,66.7,7.2
1,Aaron Gordon,ORL,58,19,39,32.9,6.4,1.6,25.7,9.9,64.2,0.6,68.3,5.6
2,Aaron Harrison,DAL,9,2,7,25.9,2.2,0.2,10.0,4.0,55.6,0.2,58.8,10.5
3,Abdel Nader,BOS,47,32,15,11.1,1.2,0.3,24.1,1.8,68.2,0.2,75.3,7.2
4,Adreian Payne,ORL,5,0,5,8.5,1.4,0.4,28.6,2.2,63.6,0.0,63.6,4.2
5,Al Horford,BOS,69,44,25,31.5,5.9,1.7,27.9,9.5,62.4,0.6,66.3,5.9
6,Al Jefferson,IND,36,17,19,13.4,3.1,1.0,32.7,5.2,60.8,0.4,65.3,4.4
7,Al-Farouq Aminu,POR,69,40,29,30.0,6.2,1.6,26.2,9.7,63.7,0.6,67.8,5.2
8,Alan Williams,PHX,5,1,4,14.1,3.8,1.0,26.3,6.2,61.3,0.0,61.3,3.4
9,Alec Burks,UTA,64,37,27,16.5,2.7,0.5,18.5,4.3,62.5,0.3,67.6,6.0
10,Alec Peters,PHX,20,2,18,11.2,1.5,0.4,24.1,2.1,69.0,0.1,72.5,5.7
11,Alex Abrines,OKC,72,42,30,15.1,1.2,0.3,22.4,2.4,48.9,0.2,53.8,8.3
12,Alex Caruso,LAL,37,16,21,15.2,1.4,0.2,12.0,2.4,56.8,0.2,61.7,10.1
13,Alex Len,PHX,69,20,49,20.2,5.0,1.8,35.9,8.5,58.3,0.4,61.6,4.1
14,Alex Poythress,IND,25,10,15,4.2,0.4,0.1,20.0,0.6,62.5,0.0,62.5,8.6
15,Alfonzo McKinnie,TOR,14,13,1,3.8,0.4,0.2,50.0,0.8,54.5,0.2,75.0,3.6
16,Allen Crabbe,BKN,73,24,49,29.2,3.9,0.7,17.0,6.3,63.0,0.3,66.2,6.8
17,Amir Johnson,PHI,74,47,27,15.8,2.8,1.0,37.2,5.5,50.5,0.7,57.8,5.4
18,Andre Drummond,DET,78,37,41,33.7,10.9,3.8,35.4,15.9,68.4,0.8,72.0,3.5
19,Andre Iguodala,GSW,63,45,18,25.4,3.0,0.7,22.1,5.8,52.3,0.4,56.7,7.7
20,Andre Ingram,LAL,2,1,1,32.1,2.5,0.0,0.0,3.5,71.4,0.5,83.3,10.6
21,Andre Roberson,OKC,36,24,12,26.5,2.8,0.8,27.5,5.4,52.8,0.4,57.3,6.1
22,Andrew Bogut,LAL,24,7,17,9.0,2.2,0.7,32.7,3.4,64.2,0.3,69.3,4.7
23,Andrew Harrison,MEM,55,16,39,23.8,1.9,0.3,16.0,3.8,50.7,0.3,55.5,9.7
24,Andrew White III,ATL,15,1,14,13.9,2.0,0.1,3.3,3.4,58.8,0.3,63.8,7.9
25,Andrew Wiggins,MIN,82,47,35,36.3,3.4,0.8,22.5,6.4,52.9,0.5,57.7,6.5
26,Ante Zizic,CLE,32,21,11,6.7,1.1,0.3,27.8,2.1,53.7,0.2,58.1,5.0
27,Anthony Brown,MIN,1,0,1,3.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
28,Anthony Davis,NOP,73,44,29,36.2,8.5,2.9,33.8,13.2,64.4,0.7,67.8,4.8
29,Anthony Tolliver,DET,79,37,42,22.2,2.4,0.6,26.2,5.3,45.4,0.5,50.0,7.5
30,Antonio Blakeney,CHI,19,3,16,16.5,1.5,0.1,6.9,2.9,51.8,0.2,55.8,6.3
31,Antonius Cleveland,ATL,17,7,10,7.2,0.6,0.2,27.3,1.1,57.9,0.1,64.7,7.3
32,Aron Baynes,BOS,78,51,27,18.4,3.7,1.3,35.3,7.0,53.4,0.7,59.6,4.5
33,Arron Afflalo,ORL,53,16,37,12.9,1.2,0.2,21.0,1.9,62.0,0.2,70.5,8.7
34,Austin Rivers,LAC,61,30,31,33.7,1.9,0.3,15.3,4.4,44.4,0.5,50.4,8.4
35,Avery Bradley,LAC,46,22,24,31.2,2.0,0.2,10.6,3.7,55.6,0.4,63.1,7.3
36,Bam Adebayo,MIA,68,33,35,19.8,3.8,1.2,31.9,6.1,62.5,0.4,66.7,5.5
37,Ben McLemore,MEM,56,7,49,19.5,1.9,0.1,7.6,3.5,53.3,0.5,62.1,7.6
38,Ben Moore,IND,2,1,1,4.6,0.5,0.0,0.0,1.0,50.0,0.0,50.0,9.7
39,Ben Simmons,PHI,80,51,29,33.8,6.4,1.3,19.7,9.7,65.9,0.4,69.0,6.6
40,Bismack Biyombo,ORL,82,25,57,18.2,4.0,1.3,32.4,7.1,55.7,0.4,59.2,4.3
41,Blake Griffin,DET,58,28,30,34.0,6.1,1.4,23.7,10.3,59.4,0.7,63.5,4.7
42,Boban Marjanovic,LAC,39,18,21,8.7,2.5,0.9,36.5,3.9,63.6,0.4,70.1,3.8
43,Bobby Brown,HOU,20,17,3,5.7,0.4,0.0,0.0,0.6,63.6,0.1,70.0,16.3
44,Bobby Portis,CHI,73,25,48,22.5,4.6,0.9,19.5,7.4,62.7,0.5,66.9,4.8
45,Bogdan Bogdanovic,SAC,78,26,52,27.9,2.5,0.5,19.3,4.7,52.6,0.5,58.7,7.5
46,Bojan Bogdanovic,IND,80,47,33,30.8,3.0,0.5,15.0,4.9,60.8,0.3,64.9,7.1
47,Bradley Beal,WAS,82,43,39,36.3,3.7,0.7,18.9,6.4,58.0,0.3,61.3,8.1
48,Brandan Wright,HOU,27,10,17,13.7,2.2,1.0,47.5,4.3,50.9,0.3,54.1,5.6
49,Brandon Ingram,LAL,59,27,32,33.5,4.4,1.0,22.2,7.1,61.6,0.4,65.7,6.5
50,Brandon Jennings,MIL,14,8,6,14.7,1.9,0.1,3.8,3.4,55.3,0.1,57.8,8.6
51,Brandon Paul,SAS,64,38,26,9.0,1.0,0.2,17.7,1.9,52.1,0.2,57.4,8.0
52,Briante Weber,MEM,18,8,10,13.1,1.5,0.3,18.5,2.4,62.8,0.1,65.9,7.6
53,Brice Johnson,MEM,18,2,16,5.4,1.2,0.5,40.9,1.5,81.5,0.1,84.6,3.7
54,Brook Lopez,LAL,74,34,40,23.4,3.0,1.3,45.0,5.8,51.4,0.5,56.0,6.1
55,Bruno Caboclo,SAC,12,4,8,8.9,1.3,0.4,33.3,2.6,48.4,0.3,55.6,5.4
56,Bryn Forbes,SAS,80,46,34,19.0,1.2,0.2,14.3,2.5,49.5,0.3,56.0,9.6
57,Buddy Hield,SAC,80,27,53,25.3,3.2,0.3,9.9,5.5,57.5,0.4,62.4,7.1
58,C.J. Williams,LAC,38,17,21,18.6,1.2,0.2,20.5,2.3,50.0,0.2,55.7,9.7
59,CJ McCollum,POR,81,48,33,36.1,3.3,0.5,14.2,5.8,56.8,0.4,60.5,9.9
60,CJ Miles,TOR,70,50,20,19.1,1.9,0.3,17.9,3.2,59.6,0.1,61.5,9.1
61,Caleb Swanigan,POR,27,16,11,7.0,1.4,0.4,25.6,2.4,60.9,0.3,69.6,4.4
62,Cameron Payne,CHI,25,7,18,23.3,2.0,0.2,7.8,3.6,56.7,0.3,62.2,8.6
63,Caris LeVert,BKN,69,24,45,26.1,2.9,0.6,18.8,4.9,59.6,0.4,64.3,6.8
64,Carmelo Anthony,OKC,75,46,29,32.0,4.9,1.0,19.9,8.6,56.6,0.5,60.1,5.2
65,Cedi Osman,CLE,61,35,26,11.0,1.7,0.2,13.9,2.4,69.7,0.2,76.5,6.0
66,Chandler Parsons,MEM,35,11,24,19.3,2.1,0.3,13.7,3.6,58.4,0.2,62.4,6.9
67,Channing Frye,LAL,53,28,25,13.1,2.3,0.7,30.1,4.3,54.2,0.4,60.0,4.8
68,Charles Cooke,NOP,13,8,5,2.9,0.2,0.1,50.0,0.2,100,0.0,100,7.2
69,Cheick Diallo,NOP,52,29,23,11.2,3.2,0.9,28.0,5.2,61.2,0.3,64.6,4.2
70,Chinanu Onuaku,HOU,1,0,1,21.6,3.0,1.0,33.3,8.0,37.5,1.0,42.9,3.8
71,Chris Boucher,GSW,1,1,0,1.3,1.0,0.0,0.0,1.0,100,0.0,100,0.9
