,PLAYER,DREB,CONTEST_DREB%,DEFER_DREB_CHANCE,AVG_DREB_DIST
0,Aaron Brooks,0.3,20.0,0.2,7.2
1,Aaron Gordon,6.4,25.7,0.6,5.6
2,Aaron Harrison,2.2,10.0,0.2,10.5
3,Abdel Nader,1.2,24.1,0.2,7.2
4,Adreian Payne,1.4,28.6,0.0,4.2
5,Al Horford,5.9,27.9,0.6,5.9
6,Al Jefferson,3.1,32.7,0.4,4.4
7,Al-Farouq Aminu,6.2,26.2,0.6,5.2
8,Alan Williams,3.8,26.3,0.0,3.4
9,Alec Burks,2.7,18.5,0.3,6.0
10,Alec Peters,1.5,24.1,0.1,5.7
11,Alex Abrines,1.2,22.4,0.2,8.3
12,Alex Caruso,1.4,12.0,0.2,10.1
13,Alex Len,5.0,35.9,0.4,4.1
14,Alex Poythress,0.4,20.0,0.0,8.6
15,Alfonzo McKinnie,0.4,50.0,0.2,3.6
16,Allen Crabbe,3.9,17.0,0.3,6.8
17,Amir Johnson,2.8,37.2,0.7,5.4
18,Andre Drummond,10.9,35.4,0.8,3.5
19,Andre Iguodala,3.0,22.1,0.4,7.7
20,Andre Ingram,2.5,0.0,0.5,10.6
21,Andre Roberson,2.8,27.5,0.4,6.1
22,Andrew Bogut,2.2,32.7,0.3,4.7
23,Andrew Harrison,1.9,16.0,0.3,9.7
24,Andrew White III,2.0,3.3,0.3,7.9
25,Andrew Wiggins,3.4,22.5,0.5,6.5
26,Ante Zizic,1.1,27.8,0.2,5.0
27,Anthony Brown,0.0,0.0,2.0,0.0
28,Anthony Davis,8.5,33.8,0.7,4.8
29,Anthony Tolliver,2.4,26.2,0.5,7.5
30,Antonio Blakeney,1.5,6.9,0.2,6.3
31,Antonius Cleveland,0.6,27.3,0.1,7.3
32,Aron Baynes,3.7,35.3,0.7,4.5
33,Arron Afflalo,1.2,21.0,0.2,8.7
34,Austin Rivers,1.9,15.3,0.5,8.4
35,Avery Bradley,2.0,10.6,0.4,7.3
36,Bam Adebayo,3.8,31.9,0.4,5.5
37,Ben McLemore,1.9,7.6,0.5,7.6
38,Ben Moore,0.5,0.0,0.0,9.7
39,Ben Simmons,6.4,19.7,0.4,6.6
40,Bismack Biyombo,4.0,32.4,0.4,4.3
41,Blake Griffin,6.1,23.7,0.7,4.7
42,Boban Marjanovic,2.5,36.5,0.4,3.8
43,Bobby Brown,0.4,0.0,0.1,16.3
44,Bobby Portis,4.6,19.5,0.5,4.8
45,Bogdan Bogdanovic,2.5,19.3,0.5,7.5
46,Bojan Bogdanovic,3.0,15.0,0.3,7.1
47,Bradley Beal,3.7,18.9,0.3,8.1
48,Brandan Wright,2.2,47.5,0.3,5.6
49,Brandon Ingram,4.4,22.2,0.4,6.5
50,Brandon Jennings,1.9,3.8,0.1,8.6
51,Brandon Paul,1.0,17.7,0.2,8.0
52,Briante Weber,1.5,18.5,0.1,7.6
53,Brice Johnson,1.2,40.9,0.1,3.7
54,Brook Lopez,3.0,45.0,0.5,6.1
55,Bruno Caboclo,1.3,33.3,0.3,5.4
56,Bryn Forbes,1.2,14.3,0.3,9.6
57,Buddy Hield,3.2,9.9,0.4,7.1
58,C.J. Williams,1.2,20.5,0.2,9.7
59,CJ McCollum,3.3,14.2,0.4,9.9
60,CJ Miles,1.9,17.9,0.1,9.1
61,Caleb Swanigan,1.4,25.6,0.3,4.4
62,Cameron Payne,2.0,7.8,0.3,8.6
63,Caris LeVert,2.9,18.8,0.4,6.8
64,Carmelo Anthony,4.9,19.9,0.5,5.2
65,Cedi Osman,1.7,13.9,0.2,6.0
66,Chandler Parsons,2.1,13.7,0.2,6.9
67,Channing Frye,2.3,30.1,0.4,4.8
68,Charles Cooke,0.2,50.0,0.0,7.2
69,Cheick Diallo,3.2,28.0,0.3,4.2
70,Chinanu Onuaku,3.0,33.3,1.0,3.8
71,Chris Boucher,1.0,0.0,0.0,0.9
72,Chris McCullough,0.9,16.7,0.3,4.2
73,Chris Paul,4.8,16.3,0.8,7.1
74,Clint Capela,7.6,29.7,0.7,4.5
75,Cody Zeller,3.3,39.1,0.4,5.3
76,Cole Aldrich,0.6,16.7,0.1,2.8
77,Corey Brewer,1.5,19.8,0.3,7.8
78,Cory Joseph,2.7,18.8,0.4,8.4
79,Courtney Lee,2.5,13.7,0.3,9.9
80,Cristiano Felicio,2.7,33.3,0.4,4.8
81,D'Angelo Russell,3.3,11.3,0.3,7.0
82,D.J. Augustin,1.7,10.0,0.3,10.4
83,D.J. Wilson,0.4,25.0,0.0,4.7
84,Dakari Johnson,0.5,40.0,0.1,8.5
85,Damian Jones,0.6,33.3,0.3,4.7
86,Damian Lillard,3.6,12.5,0.4,8.5
87,Damien Wilkins,0.6,9.1,0.1,6.3
88,Damion Lee,4.0,11.7,0.3,7.1
89,Damyean Dotson,1.7,14.7,0.1,6.7
90,Daniel Hamilton,0.8,0.0,0.2,3.8
91,Daniel Theis,2.9,48.6,0.5,4.3
92,Danilo Gallinari,4.4,25.0,0.7,6.7
93,Danny Green,3.0,16.8,0.5,6.0
94,Dante Cunningham,3.0,26.4,0.4,6.1
95,Dante Exum,1.6,18.2,0.0,5.5
96,Danuel House,2.7,12.7,0.3,7.3
97,Dario Saric,4.7,23.4,0.8,5.0
98,Darius Miller,1.7,25.4,0.4,8.6
99,Darrell Arthur,0.6,58.3,0.2,4.4
100,Darren Collison,2.0,8.5,0.2,11.1
101,Darrun Hilliard,0.5,28.6,0.1,7.5
102,David Nwaba,3.4,18.6,0.6,6.9
103,David Stockton,0.0,0.0,0.3,0.0
104,David West,2.4,39.1,0.5,5.3
105,Davis Bertans,1.8,31.1,0.2,5.4
106,Davon Reed,1.8,8.1,0.3,5.9
107,De'Aaron Fox,2.3,11.1,0.3,9.0
108,DeAndre Jordan,10.9,24.7,0.7,4.5
109,DeAndre Liggins,1.2,29.9,0.2,6.5
110,DeAndre' Bembry,2.6,21.9,0.3,7.3
111,DeMar DeRozan,3.2,15.2,0.4,8.9
112,DeMarcus Cousins,10.8,33.3,0.7,4.2
113,DeMarre Carroll,5.1,23.3,0.6,6.1
114,Dejounte Murray,4.3,17.2,0.5,5.7
115,Delon Wright,2.2,11.8,0.3,8.2
116,Demetrius Jackson,0.5,14.3,0.2,8.2
117,Dennis Schroder,2.5,9.2,0.4,9.2
118,Dennis Smith Jr.,3.0,16.2,0.6,7.5
119,Denzel Valentine,4.5,18.3,0.7,6.0
120,Derrick Favors,4.6,38.1,0.6,4.7
121,Derrick Jones Jr.,0.9,0.0,0.1,7.4
122,Derrick Rose,0.9,27.3,0.2,9.7
123,Derrick Walton Jr.,0.9,21.4,0.3,8.5
124,Derrick White,1.2,38.1,0.1,4.9
