,PLAYER,FREQ,DFGM,DFGA,DFG%
0,DeMarcus Cousins,100.0%,8.2,16.9,48.3
1,Anthony Davis,100.0%,6.6,16.5,39.8
2,Clint Capela,100.0%,7.7,16.4,47.2
3,Nikola Jokic,100.0%,8.8,16.3,54.1
4,Rudy Gobert,100.0%,7.3,16.1,45.4
5,Karl-Anthony Towns,100.0%,7.8,15.7,49.5
6,Kristaps Porzingis,100.0%,6.6,15.5,42.4
7,Al Horford,100.0%,6.3,15.4,40.9
8,Steven Adams,100.0%,6.9,15.3,44.9
9,Nikola Vucevic,100.0%,7.6,14.5,52.2
10,Jrue Holiday,100.0%,6.0,14.3,42.3
11,Joel Embiid,100.0%,5.8,14.2,40.9
12,Paul Millsap,100.0%,6.1,14.2,43.0
13,Draymond Green,100.0%,6.0,14.1,42.5
14,Tobias Harris,100.0%,6.7,14.1,47.4
15,Blake Griffin,100.0%,6.2,14.1,44.2
16,Myles Turner,100.0%,6.7,13.9,48.3
17,Kemba Walker,100.0%,5.9,13.6,43.4
18,LaMarcus Aldridge,100.0%,5.9,13.5,43.7
19,Andrew Wiggins,100.0%,6.2,13.3,46.5
20,Luol Deng,100.0%,6.0,13.0,46.2
21,Jusuf Nurkic,100.0%,6.2,12.9,48.5
22,Taj Gibson,100.0%,5.9,12.7,46.6
23,Thaddeus Young,100.0%,5.8,12.7,45.9
24,Andre Drummond,100.0%,6.2,12.6,48.8
25,Marcin Gortat,100.0%,6.1,12.6,48.2
26,James Harden,100.0%,5.8,12.4,46.4
27,Marc Gasol,100.0%,5.8,12.4,46.7
28,Giannis Antetokounmpo,100.0%,5.2,12.4,41.9
29,Enes Kanter,100.0%,6.4,12.3,52.0
30,Paul George,100.0%,6.1,12.3,49.6
31,Dragan Bender,100.0%,5.7,12.2,46.7
32,DeAndre Jordan,100.0%,5.5,12.1,45.8
33,Danilo Gallinari,100.0%,5.3,12.1,43.9
34,Robin Lopez,100.0%,5.8,12.0,48.4
35,Derrick Favors,100.0%,5.3,12.0,44.0
36,Brook Lopez,100.0%,5.5,12.0,45.8
37,Kevin Love,100.0%,6.3,12.0,52.9
38,Kevin Durant,100.0%,5.1,11.9,42.8
39,John Henson,100.0%,5.7,11.9,47.8
40,Jonas Valanciunas,100.0%,5.6,11.8,47.3
41,Robert Covington,100.0%,5.4,11.7,46.0
42,Al-Farouq Aminu,100.0%,5.2,11.7,44.9
43,Bradley Beal,100.0%,5.2,11.6,45.3
44,Ben Simmons,100.0%,4.8,11.6,41.4
45,Lonzo Ball,100.0%,4.8,11.5,41.9
46,Dario Saric,100.0%,5.3,11.4,46.3
47,Julius Randle,100.0%,5.3,11.4,46.5
48,Nikola Mirotic,100.0%,5.2,11.4,45.8
49,DeMarre Carroll,100.0%,5.4,11.3,47.6
50,Dwight Howard,100.0%,5.4,11.3,48.0
51,Josh Richardson,100.0%,4.7,11.3,41.6
52,Victor Oladipo,100.0%,5.0,11.2,45.0
53,LeBron James,100.0%,5.0,11.1,44.7
54,Aaron Gordon,100.0%,4.8,11.1,43.2
55,CJ McCollum,100.0%,4.9,11.1,43.9
56,Carmelo Anthony,100.0%,5.3,11.1,47.5
57,Danny Green,100.0%,5.0,11.0,45.6
58,Kris Dunn,100.0%,5.1,11.0,46.3
59,John Collins,100.0%,5.0,11.0,45.5
60,Brandon Ingram,100.0%,4.7,10.9,43.2
61,John Wall,100.0%,4.5,10.9,41.1
62,Kyle Lowry,100.0%,4.7,10.9,43.1
63,Rondae Hollis-Jefferson,100.0%,5.3,10.9,48.5
64,Justin Holiday,100.0%,4.8,10.9,44.1
65,Kyle Kuzma,100.0%,4.9,10.9,44.8
66,Michael Kidd-Gilchrist,100.0%,5.1,10.9,46.6
67,Domantas Sabonis,100.0%,5.1,10.8,47.1
68,Jakob Poeltl,100.0%,4.8,10.8,45.0
69,Devin Booker,100.0%,4.9,10.7,45.9
70,Lauri Markkanen,100.0%,5.3,10.7,49.0
71,Jimmy Butler,100.0%,4.7,10.7,44.1
72,Hassan Whiteside,100.0%,5.0,10.7,47.1
73,Harrison Barnes,100.0%,4.7,10.7,44.4
74,Tim Hardaway Jr.,100.0%,4.9,10.7,45.5
75,Willie Cauley-Stein,100.0%,4.9,10.7,45.9
76,Khris Middleton,100.0%,5.0,10.7,46.7
77,Serge Ibaka,100.0%,5.0,10.6,47.4
78,Tyrone Wallace,100.0%,4.9,10.6,46.1
79,Dion Waiters,100.0%,5.1,10.6,48.4
80,Dillon Brooks,100.0%,5.1,10.6,48.3
81,Andre Roberson,100.0%,4.7,10.6,44.6
82,Dewayne Dedmon,100.0%,4.7,10.6,44.6
83,Elfrid Payton,100.0%,5.1,10.5,48.6
84,Jamal Murray,100.0%,5.3,10.5,50.6
85,Dennis Smith Jr.,100.0%,5.0,10.5,47.3
86,Corey Brewer,100.0%,4.8,10.4,46.3
87,Klay Thompson,100.0%,4.7,10.4,45.0
88,Patrick Beverley,100.0%,5.2,10.4,50.0
89,Damian Lillard,100.0%,4.3,10.3,41.5
90,Tristan Thompson,100.0%,5.3,10.3,50.9
91,Dennis Schroder,100.0%,5.0,10.3,48.6
92,Alex Len,100.0%,5.0,10.3,48.7
93,Chris Paul,100.0%,4.9,10.2,47.8
94,Pau Gasol,100.0%,4.6,10.2,45.6
95,Jarrett Allen,100.0%,4.7,10.2,46.3
96,Tyler Johnson,100.0%,4.8,10.1,47.1
97,Eric Bledsoe,100.0%,4.5,10.1,44.7
98,Tyson Chandler,100.0%,5.0,10.1,49.9
99,Markieff Morris,100.0%,4.7,10.1,46.3
100,Marquese Chriss,100.0%,4.7,10.0,46.6
