,PLAYER,6FREQ,6DFGM,6DFGA,6DFG%
0,Clint Capela,48.9%,4.5,8.0,56.5
1,DeMarcus Cousins,45.7%,4.6,7.7,59.7
2,Myles Turner,55.6%,4.4,7.7,57.3
3,Rudy Gobert,47.6%,4.0,7.7,51.9
4,Nikola Jokic,46.2%,5.0,7.5,66.8
5,Karl-Anthony Towns,45.2%,4.4,7.1,61.5
6,Nikola Vucevic,48.0%,4.4,7.0,63.2
7,Jusuf Nurkic,51.5%,3.6,6.6,53.9
8,Joel Embiid,45.9%,3.3,6.5,50.1
9,Marc Gasol,52.7%,3.8,6.5,57.9
10,Anthony Davis,39.6%,3.4,6.5,51.6
11,Andre Drummond,50.7%,3.7,6.4,58.5
12,John Henson,51.3%,3.5,6.1,57.1
13,Luol Deng,46.2%,3.0,6.0,50.0
14,Marcin Gortat,47.1%,3.5,5.9,59.5
15,Kristaps Porzingis,38.0%,2.9,5.9,48.7
16,Hassan Whiteside,54.8%,3.2,5.9,53.8
17,Paul Millsap,41.1%,2.8,5.8,47.7
18,Jonas Valanciunas,48.7%,3.2,5.7,55.2
19,Jakob Poeltl,52.7%,2.9,5.7,51.3
20,Kevin Love,46.7%,3.6,5.6,64.2
21,Enes Kanter,45.4%,3.4,5.6,60.4
22,Al Horford,35.8%,2.9,5.5,53.6
23,Domantas Sabonis,50.6%,3.1,5.5,56.4
24,Alex Len,53.1%,3.0,5.5,55.9
25,Steven Adams,35.5%,3.0,5.4,54.8
26,Greg Monroe,57.0%,3.3,5.4,61.5
27,John Collins,47.9%,3.0,5.3,56.7
28,Derrick Favors,43.7%,2.7,5.3,52.0
29,Draymond Green,37.0%,2.8,5.2,53.9
30,Robin Lopez,42.9%,2.8,5.1,55.2
31,Giannis Antetokounmpo,41.4%,2.8,5.1,54.4
32,Brook Lopez,42.6%,2.8,5.1,54.3
33,Thon Maker,57.9%,2.9,5.1,57.7
34,Jarrett Allen,49.6%,2.7,5.0,52.7
35,Tobias Harris,34.4%,3.1,4.8,64.4
36,Julius Randle,42.0%,2.8,4.8,58.5
37,Pau Gasol,47.0%,2.4,4.8,50.8
38,Tyson Chandler,47.3%,3.0,4.8,62.3
39,LaMarcus Aldridge,34.5%,2.4,4.7,52.0
40,Blake Griffin,32.7%,2.7,4.6,58.8
41,Dwight Howard,40.2%,2.6,4.5,57.6
42,DeAndre Jordan,37.3%,2.8,4.5,60.8
43,DeMarre Carroll,39.5%,2.7,4.5,60.7
44,Taj Gibson,35.0%,2.8,4.5,61.7
45,Bismack Biyombo,53.3%,2.4,4.4,55.0
46,Dragan Bender,36.1%,2.5,4.4,56.4
47,Jon Leuer,61.4%,2.5,4.4,57.1
48,Nikola Mirotic,38.4%,2.7,4.4,61.7
49,Aaron Gordon,39.2%,2.5,4.3,58.3
50,Zach Randolph,44.5%,2.9,4.2,68.8
51,Kevin Durant,35.6%,2.5,4.2,58.2
52,Serge Ibaka,39.7%,2.5,4.2,57.9
53,Al-Farouq Aminu,36.1%,2.3,4.2,55.6
54,Aron Baynes,42.7%,2.5,4.2,59.8
55,Dirk Nowitzki,43.7%,2.6,4.2,61.5
56,Kelly Olynyk,42.7%,2.6,4.2,61.3
57,Dario Saric,36.4%,2.4,4.2,56.4
58,Ed Davis,50.9%,2.3,4.1,55.8
59,Marquese Chriss,41.2%,2.4,4.1,57.1
60,Lauri Markkanen,38.1%,2.5,4.1,60.8
61,Jeremy Lin,44.4%,4.0,4.0,100
62,Skal Labissiere,43.7%,2.5,4.0,61.4
63,Mason Plumlee,42.3%,2.2,4.0,54.7
64,Paul George,32.2%,2.8,4.0,70.5
65,Rondae Hollis-Jefferson,36.3%,2.5,4.0,62.5
66,Luke Kornet,53.0%,2.4,4.0,59.5
67,Danilo Gallinari,32.4%,2.3,3.9,58.5
68,Jonathan Isaac,46.1%,2.3,3.9,60.0
69,Emeka Okafor,48.6%,1.9,3.9,49.5
70,Kyle Kuzma,35.7%,2.4,3.9,60.5
71,Tristan Thompson,37.5%,2.6,3.9,65.9
72,Willie Cauley-Stein,36.2%,2.3,3.9,58.9
73,Andrew Wiggins,28.9%,2.7,3.9,69.2
74,Kyle O'Quinn,46.4%,2.0,3.8,53.1
75,LeBron James,34.6%,2.1,3.8,54.3
76,Larry Nance Jr.,40.6%,2.5,3.8,65.7
77,Tyler Zeller,41.0%,2.3,3.8,60.2
78,Amir Johnson,51.7%,2.1,3.8,55.5
79,Dewayne Dedmon,35.9%,2.1,3.8,54.5
80,Markieff Morris,37.4%,2.3,3.8,62.0
81,Mike Muscala,38.6%,2.2,3.7,60.0
82,Zaza Pachulia,47.4%,2.2,3.7,61.0
83,Daniel Theis,46.3%,2.0,3.6,55.9
84,Jordan Bell,45.1%,1.9,3.6,52.0
85,Chris Paul,35.3%,2.4,3.6,67.0
86,Trey Lyles,41.9%,2.2,3.6,60.0
87,Carmelo Anthony,32.2%,2.5,3.6,70.0
88,Danny Green,32.1%,2.3,3.5,64.8
89,Thaddeus Young,27.5%,2.3,3.5,65.7
90,Ersan Ilyasova,36.8%,2.0,3.5,56.4
91,James Harden,28.0%,2.3,3.5,66.0
92,Gorgui Dieng,43.4%,2.2,3.5,64.0
93,Ivan Rabb,43.3%,2.3,3.5,65.4
94,Kosta Koufos,46.9%,2.0,3.5,58.1
95,Miles Plumlee,45.6%,1.8,3.5,52.6
96,Nerlens Noel,43.9%,2.0,3.4,58.1
97,Nemanja Bjelica,40.3%,2.1,3.4,62.2
98,Jabari Parker,40.6%,2.1,3.4,61.3
99,Deyonta Davis,55.0%,2.0,3.4,57.7
100,Jimmy Butler,31.9%,2.2,3.4,63.2
101,John Wall,31.0%,2.1,3.4,61.9
102,Robert Covington,28.5%,2.3,3.4,67.4
103,Michael Kidd-Gilchrist,30.6%,2.0,3.3,58.9
104,Lonzo Ball,29.0%,1.9,3.3,57.8
105,Khem Birch,44.2%,2.0,3.3,58.5
106,PJ Tucker,34.1%,2.3,3.3,69.1
107,Otto Porter Jr.,34.8%,2.2,3.3,65.6
108,Victor Oladipo,29.3%,2.0,3.3,61.9
109,Andre Roberson,30.7%,2.2,3.3,68.4
110,Ekpe Udoh,49.4%,1.7,3.3,51.5
111,Jarell Martin,36.2%,1.8,3.2,56.1
