Feature,League Average,,Importance_x,Cluster Average_x,,Importance_y,Cluster Average_y,,Importance_x,Cluster Average_x,,Importance_y,Cluster Average_y,,Importance,Cluster Average
,,,Versatile Big,,,Perimeter D,,,Ball-Handler D,,,Versatile Wing,,,Rim Protector,
DREB,3.59137931,,-0.399786654,4.164444444,,-0.368573843,2.945121951,,-0.34554925,2.539130435,,-0.373488482,3.741818182,,-0.393125231,5.938461538
CONT_3PT,2.362758621,,-0.368612823,2.375555556,,-0.255261499,2.624390244,,-0.172322294,2.153623188,,-0.216901444,2.721818182,,-0.232098239,1.661538462
DIST_MI_DEF,0.840344828,,-0.356540973,0.756,,-0.285906109,0.892073171,,-0.253974689,0.853623188,,-0.285940393,0.846909091,,-0.337645854,0.796153846
LB_REC,0.885517241,,-0.345701453,0.746666667,,-0.322622751,0.934146341,,-0.329564359,1.023188406,,-0.315106995,0.845454545,,-0.342656507,0.756410256
CONT_2PT,4.129655172,,-0.298434814,5.7,,-0.28771049,2.934146341,,-0.26139612,2.433333333,,-0.302942601,4.096363636,,-0.177455383,7.879487179
DEFL,1.507241379,,-0.288396717,1.24,,-0.326548652,1.72195122,,-0.329869159,1.757971014,,-0.266609,1.334545455,,-0.332467206,1.164102564
%DREB,20.02448276,,-0.202179753,25.52222222,,-0.289170563,15.68414634,,-0.288382331,13.9057971,,-0.309280411,20.47636364,,-0.325650449,32.99487179
DREB%,13.83655172,,-0.197014633,17.67555556,,-0.290133905,10.81707317,,-0.294910754,9.530434783,,-0.302184397,14.14909091,,-0.335604178,22.93333333
STL%,19.68137931,,-0.104626468,17.21555556,,-0.264792071,21.45609756,,-0.188941699,23.43478261,,-0.14990883,17.43454545,,-0.235160989,15.32307692
%BLK,19.42103448,,-0.101736778,30.87111111,,-0.222990323,12.35243902,,-0.181001736,9.272463768,,-0.213198466,17.34,,-0.028603298,41.96153846
6to10DFG%,8.04862069,,0.041905322,6.897777778,,-0.002355208,7.753658537,,0.180271156,9.92173913,,0.060450837,7.432727273,,0.088465085,7.551282051
10to15FREQ,0.398871252,,0.05682005,0.412353511,,0.127439939,0.423603632,,-0.004947144,0.380003652,,0.103629814,0.391209195,,0.051477408,0.37549999
10to15DFG%,37.57965517,,0.057283171,37.62666667,,0.080051351,37.61707317,,-0.051504466,37.81884058,,0.018354587,36.07272727,,-0.073209021,39.14871795
CONTEST_DREB%,22.3862069,,0.073654389,30.19111111,,-0.083174051,18.68170732,,-0.128377766,13.25362319,,0.037319098,24.46545455,,0.090218622,34.39487179
AVG_DREB_DIST,6.753793103,,0.105736385,5.142222222,,0.228161807,7.525609756,,0.26248537,8.910144928,,0.162799737,5.978181818,,0.210454407,4.269230769
6FREQ,63.68655172,,0.128181775,58.42444444,,-0.16501506,66.38170732,,-0.217370311,68.77826087,,-0.267339095,62.15090909,,0.022929164,57.24871795
6DFG%,10.23344828,,0.13053927,11.84222222,,0.094999981,8.764634146,,0.199803775,9.379710145,,0.130488465,9.805454545,,-0.145110143,13.57948718
6to10FREQ,0.405675049,,0.137850469,0.399582714,,0.067742329,0.392569422,,0.032718528,0.427732976,,0.095802518,0.411717323,,0.073198435,0.392713367
AVG_SPEED_DEF,4.004448276,,0.241179733,3.977555556,,0.08543463,4.07402439,,0.115077263,3.98826087,,0.160718882,3.999090909,,0.202263404,3.925384615
